X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.0	91
5.1	106
5.2	110
5.3	128
5.4	162
5.5	211
5.6	204
5.7	138
5.8	130
5.9	157
6.0	215
6.1	431
6.2	709
6.3	431
6.4	153
6.5	143
6.6	147
6.7	140
6.8	144
6.9	144
7.0	130
7.1	152
7.2	150
7.3	150
7.4	145
7.5	143
7.6	151
7.7	154
7.8	165
7.9	147
8.0	187
8.1	238
8.2	269
8.3	273
8.4	276
8.5	267
8.6	281
8.7	292
8.8	286
8.9	269
9.0	270
9.1	263
9.2	257
9.3	262
9.4	264
9.5	266
9.6	246
9.7	264
9.8	248
9.9	252
10.0	240
10.1	251
10.2	235
10.3	241
10.4	239
10.5	222
10.6	227
10.7	220
10.8	225
10.9	226
11.0	245
11.1	253
11.2	219
11.3	217
11.4	218
11.5	200
11.6	202
11.7	197
11.8	189
11.9	194
12.0	199
12.1	201
12.2	206
12.3	243
12.4	367
12.5	379
12.6	240
12.7	166
12.8	165
12.9	155
13.0	155
13.1	163
13.2	142
13.3	135
13.4	152
13.5	153
13.6	144
13.7	147
13.8	145
13.9	142
14.0	139
14.1	124
14.2	131
14.3	118
14.4	119
14.5	131
14.6	125
14.7	119
14.8	106
14.9	122
15.0	110
15.1	110
15.2	111
15.3	113
15.4	110
15.5	101
15.6	91
15.7	110
15.8	107
15.9	100
16.0	101
16.1	101
16.2	105
16.3	114
16.4	121
16.5	116
16.6	117
16.7	121
16.8	124
16.9	109
17.0	112
17.1	110
17.2	110
17.3	105
17.4	116
17.5	109
17.6	110
17.7	109
17.8	110
17.9	111
18.0	111
18.1	103
18.2	102
18.3	112
18.4	111
18.5	114
18.6	108
18.7	117
18.8	147
18.9	179
19.0	120
19.1	116
19.2	106
19.3	102
19.4	98
19.5	113
19.6	100
19.7	97
19.8	97
19.9	101
20.0	104
20.1	101
20.2	95
20.3	94
20.4	101
20.5	101
20.6	93
20.7	109
20.8	101
20.9	107
21.0	93
21.1	99
21.2	101
21.3	97
21.4	100
21.5	101
21.6	93
21.7	100
21.8	101
21.9	102
22.0	94
22.1	100
22.2	98
22.3	100
22.4	103
22.5	101
22.6	96
22.7	99
22.8	103
22.9	101
23.0	95
23.1	100
23.2	102
23.3	108
23.4	97
23.5	101
23.6	94
23.7	99
23.8	93
23.9	94
24.0	89
24.1	93
24.2	98
24.3	105
24.4	97
24.5	99
24.6	88
24.7	97
24.8	100
24.9	98
25.0	102
25.1	104
25.2	113
25.3	97
25.4	106
25.5	113
25.6	109
25.7	99
25.8	103
25.9	99
26.0	95
26.1	94
26.2	99
26.3	108
26.4	102
26.5	104
26.6	94
26.7	98
26.8	95
26.9	105
27.0	93
27.1	103
27.2	94
27.3	98
27.4	99
27.5	90
27.6	91
27.7	91
27.8	92
27.9	102
28.0	95
28.1	92
28.2	98
28.3	99
28.4	101
28.5	89
28.6	98
28.7	95
28.8	89
28.9	85
29.0	91
29.1	101
29.2	89
29.3	93
29.4	102
29.5	106
29.6	93
29.7	100
29.8	98
29.9	90
30.0	89
